id,name,role,level,domain,profession,skills,goal,language,format
mentee_2a36480e,Мария Андреев,mentee,middle,Data Science,MLOps Engineer,,,en,online
mentee_b2753425,Григорий Николаев,mentee,middle,Data Science,Data Scientist,,,ru,online
mentee_439d79c2,Елена Зайцев,mentee,middle,Game Development,Game Designer,c#; physics simulation; opengl; blender; kotlin,Вырасти до Senior,,
mentee_961df732,Михаил Никитин,mentee,junior,Mobile,Kotlin Developer,git; kotlin; firebase; objective-c; xcode,,ru,hybrid
mentee_4e0957d3,Ирина Кузнецов,mentee,middle,Backend,Backend Developer,mongodb; java; redis; sql; kafka,Разобраться с системным дизайном,ru,online
mentee_eb604282,Татьяна Петров,mentee,middle,Backend,API Developer,redis; sql; rest api; docker; node.js; postgresql; python; R,Разобраться с системным дизайном,ru,online
mentee_d52bf3d1,Владимир Алексеев,mentee,senior,Blockchain,Crypto Analyst,,,,
mentee_a4a329e9,Светлана Козлов,mentee,senior,Product Analytics,Growth Analyst,,,ru,online
mentee_e3b74a40,Григорий Егоров,mentee,senior,QA,SDET,,,ru,online
mentee_08e4bff8,Людмила Кузнецов,mentee,junior,Frontend,TypeScript Developer,css; figma; webpack; vite; angular,Освоить новый стек,ru+en,offline
mentee_ff7a72b7,Роман Попов,mentee,junior,Game Development,Unreal Engine Developer,physics simulation; c#; game design; unity,Пройти сертификацию,en,hybrid
mentee_1881803f,Дарья Соловьёв,mentee,middle,Game Development,Game Developer,python; c++; c#; opengl; physics simulation; unreal engine; blender; unity,Освоить облачные технологии,ru,hybrid
mentee_a867cc1d,Анна Кузнецов,mentee,senior,Cybersecurity,Penetration Tester,burp suite; owasp; nmap; network security; linux; wireshark; python; cryptography; metasploit,Запустить собственный продукт,,
mentee_6cb2c7d8,Алексей Макаров,mentee,junior,DevOps,Platform Engineer,aws; bash; grafana; github actions,Перейти в другую компанию,ru,online
mentee_d0f4564e,Александр Кузнецов,mentee,junior,Data Science,Research Scientist,scikit-learn; pandas,Освоить новый стек,ru,online
mentee_a0538645,Надежда Степанов,mentee,junior,Product Analytics,Growth Analyst,amplitude; excel; power bi; looker; sql; appium,Научиться менеджменту в IT,ru,hybrid
mentee_3ddf1a6c,Роман Зайцев,mentee,junior,Backend,Backend Developer,node.js; mongodb; c#,Научиться менеджменту в IT,ru,online
mentee_baf07f05,Светлана Попов,mentee,senior,Backend,Go Developer,rest api; docker; python; java; node.js; go,Освоить облачные технологии,ru,online
mentee_56e0cbee,Юлия Зайцев,mentee,junior,QA,QA Engineer,cypress; jira; python; sql; postman; docker,Запустить собственный продукт,en,online
mentee_3d2b4edc,Антон Петров,mentee,junior,Data Science,BI Analyst,airflow; pandas,Вырасти до Senior,ru,offline
mentee_6eadd732,Михаил Николаев,mentee,junior,Backend,Database Engineer,redis; rest api,Перейти в другую компанию,ru,online
mentee_be3625c9,Дарья Семёнов,mentee,middle,Mobile,Android Developer,,,ru,hybrid
mentee_02bfb11a,Мария Кузнецов,mentee,junior,Product Analytics,Web Analyst,a/b testing; mixpanel; google analytics,Пройти сертификацию,ru,online
mentee_f262dc15,Дарья Николаев,mentee,junior,Product Analytics,Retention Analyst,looker; a/b testing,Улучшить soft skills,ru,hybrid
mentee_cb8dd468,Никита Макаров,mentee,junior,Backend,API Developer,node.js; rest api; microservices; sql,Подготовиться к интервью в FAANG,,
mentee_6261e3c3,Елена Смирнов,mentee,senior,Data Science,ML Engineer,pytorch; R; numpy; kafka; tensorflow; docker,Перейти в другую компанию,en,online
mentee_f85a95b6,Вера Козлов,mentee,junior,Frontend,Web Developer,css; react; javascript,,ru+en,hybrid
mentee_92571eea,Мария Волков,mentee,senior,Mobile,Android Developer,firebase; ui/ux; flutter; react native; objective-c; java; kotlin; git; swift; xcode,Разобраться с системным дизайном,en,online
mentee_0aa63fb5,Мария Алексеев,mentee,middle,DevOps,Cloud Engineer,,,,
mentee_8a2e9aa5,Кирилл Фёдоров,mentee,senior,Product Analytics,Growth Analyst,amplitude; sql; looker; power bi; google analytics; excel; statistics,Подготовиться к интервью в FAANG,,online
mentee_02012a6d,Екатерина Новиков,mentee,middle,Game Development,Unreal Engine Developer,python; blender; unity; unreal engine; git,Разобраться с архитектурой,en,online
mentee_9cb6466b,Алексей Новиков,mentee,senior,Backend,Python Developer,grpc; redis; python; docker; rest api; node.js,Вырасти до Senior,ru+en,hybrid
mentee_bc65a1ba,Виктория Морозов,mentee,middle,Backend,Systems Architect,grpc; sql; docker; go; node.js; redis; mongodb,Пройти сертификацию,ru,online
mentee_fa12ead9,Вера Николаев,mentee,junior,Data Science,MLOps Engineer,spark; statistics; R; kafka; c#,Улучшить soft skills,,online
mentee_d27c2467,Татьяна Андреев,mentee,middle,Blockchain,Web3 Engineer,,Подготовиться к интервью в FAANG,ru,
mentee_27213f3d,Тамара Борисов,mentee,junior,Data Science,Data Scientist,spark; sql,Запустить собственный продукт,,online
mentee_10f168da,Александр Захаров,mentee,middle,Product Analytics,CRM Analyst,,,,
mentee_684fa1d2,Антон Семёнов,mentee,senior,Backend,Python Developer,,Перейти в ML/Data Science,ru,
mentee_5fa7682e,Антон Козлов,mentee,senior,Backend,Go Developer,postgresql; microservices; kafka; kubernetes; docker; redis; grpc; java; mongodb; node.js,Начать карьеру в IT,,online
mentee_214c0ce0,Елена Семёнов,mentee,middle,Game Development,Game Designer,blender; c++; git; opengl,Перейти в другую компанию,ru,online
mentee_21a9acf3,Виктория Морозов,mentee,junior,Frontend,Angular Developer,css; javascript; vue; tailwind; figma,Запустить собственный продукт,,hybrid
mentee_bd150f88,Кирилл Фёдоров,mentee,junior,Blockchain,DeFi Developer,defi; ethereum; truffle; rust; nft; sql,Перейти в ML/Data Science,ru,offline
mentee_68ba9f13,Ольга Николаев,mentee,middle,Frontend,TypeScript Developer,javascript; css; figma; graphql; tailwind; typescript; html; vue; c#,Перейти в ML/Data Science,ru,online
mentee_a84132ef,Елена Захаров,mentee,junior,Mobile,Kotlin Developer,xcode; kotlin; rest api; swift; git,Разобраться с системным дизайном,ru,online
mentee_6d876c56,Алексей Соловьёв,mentee,senior,Data Science,Data Scientist,mlflow; numpy; scikit-learn; R; spark; pandas,Сменить специальность,ru,online
mentee_563d4be9,Екатерина Захаров,mentee,junior,Blockchain,Solidity Developer,python; web3.js; hardhat; network security,Улучшить soft skills,ru+en,online
mentee_d9baaef3,Татьяна Попов,mentee,senior,DevOps,DevOps Engineer,helm; bash; linux; kubernetes; prometheus; docker; github actions; jenkins,Разобраться с системным дизайном,ru,offline
mentee_e9f9925b,Полина Волков,mentee,junior,QA,Test Analyst,git; postman; jira; allure; python,Подготовиться к интервью в FAANG,ru,hybrid
mentee_53d9c9dc,Вера Новиков,mentee,middle,Product Analytics,CRM Analyst,amplitude; python; mixpanel; excel; statistics; looker,Улучшить soft skills,ru,online
mentee_ae2955fa,Юлия Морозов,mentee,senior,Frontend,UI Developer,,Подготовиться к интервью в FAANG,ru+en,
mentee_18838b3b,Анна Михайлов,mentee,middle,Cybersecurity,Security Architect,,,en,online
mentee_f969e63d,Ксения Зайцев,mentee,middle,Product Analytics,A/B Test Specialist,python; mixpanel; amplitude; power bi,Подготовиться к интервью в FAANG,en,online
mentee_5dc89f7d,Светлана Морозов,mentee,middle,Mobile,React Native Developer,java; rest api; xcode; ui/ux; git; kotlin; github actions,Вырасти до Senior,en,hybrid
