id,name,level_raw,level_score,domain,profession,language,language_set,format,format_set,skills_normalized,skills_missing,domain_vector,domain_fallback
mentee_2a36480e,Мария Андреев,middle,2,Data Science,MLOps Engineer,en,en,online,online,,1,"0.0847,0.0174,0.0134,0.7091,0.0369,0.0078,0.0172,0.008,0.0725,0.0328",0
mentee_b2753425,Григорий Николаев,middle,2,Data Science,Data Scientist,ru,ru,online,online,,1,"0.0862,0.0257,0.0173,0.6936,0.0277,0.0088,0.0191,0.0097,0.0789,0.0331",0
mentee_439d79c2,Елена Зайцев,middle,2,Game Development,Game Designer,,,,,c#; physics simulation; opengl; blender; kotlin,0,"0.0217,0.0235,0.016,0.0213,0.0093,0.0082,0.7925,0.0374,0.0241,0.046",0
mentee_961df732,Михаил Никитин,junior,1,Mobile,Kotlin Developer,ru,ru,hybrid,hybrid|offline|online,git; kotlin; firebase; objective-c; xcode,0,"0.0798,0.0095,0.0094,0.008,0.0096,0.0092,0.0325,0.8107,0.0043,0.027",0
mentee_4e0957d3,Ирина Кузнецов,middle,2,Backend,Backend Developer,ru,ru,online,online,mongodb; java; redis; sql; kafka,0,"0.6448,0.0211,0.0194,0.0856,0.0567,0.0093,0.0146,0.0758,0.0378,0.0349",0
mentee_eb604282,Татьяна Петров,middle,2,Backend,API Developer,ru,ru,online,online,redis; sql; rest api; docker; node.js; postgresql; python; r,0,"0.6304,0.0198,0.0192,0.0887,0.0593,0.008,0.0174,0.0719,0.0431,0.0423",0
mentee_d52bf3d1,Владимир Алексеев,senior,3,Blockchain,Crypto Analyst,,,,,,1,"0.0177,0.8215,0.0209,0.0167,0.0053,0.0481,0.0184,0.0147,0.0194,0.0172",0
mentee_a4a329e9,Светлана Козлов,senior,3,Product Analytics,Growth Analyst,ru,ru,online,online,,1,"0.0349,0.0294,0.0178,0.0705,0.0081,0.0123,0.0212,0.0049,0.763,0.0378",0
mentee_e3b74a40,Григорий Егоров,senior,3,QA,SDET,ru,ru,online,online,,1,"0.0323,0.0219,0.014,0.0284,0.0047,0.0085,0.0447,0.033,0.0381,0.7745",0
mentee_08e4bff8,Людмила Кузнецов,junior,1,Frontend,TypeScript Developer,ru+en,en|ru,offline,offline,css; figma; webpack; vite; angular,0,"0.0086,0.0491,0.0095,0.0101,0.0086,0.8805,0.0127,0.0043,0.0105,0.0061",0
mentee_ff7a72b7,Роман Попов,junior,1,Game Development,Unreal Engine Developer,en,en,hybrid,hybrid|offline|online,physics simulation; c#; game design; unity,0,"0.0145,0.0168,0.0149,0.0145,0.0101,0.0121,0.8118,0.0363,0.0192,0.0497",0
mentee_1881803f,Дарья Соловьёв,middle,2,Game Development,Game Developer,ru,ru,hybrid,hybrid|offline|online,python; c++; c#; opengl; physics simulation; unreal engine; blender; unity,0,"0.0164,0.0182,0.0174,0.0172,0.0112,0.0057,0.8087,0.0336,0.0242,0.0473",0
mentee_a867cc1d,Анна Кузнецов,senior,3,Cybersecurity,Penetration Tester,,,,,burp suite; owasp; nmap; network security; linux; wireshark; python; cryptography; metasploit,0,"0.0171,0.027,0.8134,0.0177,0.0504,0.0078,0.0192,0.0067,0.0241,0.0167",0
mentee_6cb2c7d8,Алексей Макаров,junior,1,DevOps,Platform Engineer,ru,ru,online,online,aws; bash; grafana; github actions,0,"0.0668,0.0059,0.0393,0.0284,0.8191,0.011,0.0068,0.0076,0.0084,0.0067",0
mentee_d0f4564e,Александр Кузнецов,junior,1,Data Science,Research Scientist,ru,ru,online,online,scikit-learn; pandas,0,"0.0847,0.0166,0.0225,0.7038,0.0269,0.0117,0.0174,0.0093,0.0745,0.0327",0
