id,name,role,level,domain,profession,skills,language,format,experience_years,available,hours_per_week,boosted,boost_k
mentor_0e59e697,Алексей Лебедев,mentor,lead,Product Analytics,Growth Analyst,excel; power bi; python; mixpanel; amplitude; tableau; statistics; looker; a/b testing; google analytics,ru,online,16,True,2,False,0.0
mentor_936d7c44,Роман Никитин,mentor,middle,Backend,API Developer,go; sql; grpc; microservices; kubernetes; java; kafka; node.js,en,online,3,True,1,False,0.0
mentor_b5d772e9,Денис Павлов,mentor,middle,Game Development,Gameplay Programmer,lua; c++; python; unity; git,ru,online,2,True,1,False,0.0
mentor_2b0f97f6,Михаил Козлов,mentor,senior,QA,Performance Tester,pytest; api testing; python; jmeter; test planning; jira; selenium; git; cypress,ru,hybrid,5,True,5,False,0.0
mentor_deab40c7,Вера Семёнов,mentor,lead,Mobile,React Native Developer,,,,20,True,8,True,0.18
mentor_fb660425,Артём Алексеев,mentor,senior,QA,Test Automation Engineer,test planning; allure; git; pytest; jmeter; selenium; python; api testing; postman; cypress,ru,,5,False,0,True,0.09
mentor_13adc44c,Александр Морозов,mentor,lead,Backend,Backend Developer,rest api; kafka; sql; mongodb; kubernetes; docker; microservices; go; grpc; redis; python; node.js; java; postgresql,ru,online,13,True,5,False,0.0
mentor_c808b1d5,Юлия Андреев,mentor,senior,Frontend,UI Developer,html; vite; figma; javascript; tailwind; webpack; css; typescript; graphql,ru,offline,8,True,2,False,0.0
mentor_039f8231,Ирина Волков,mentor,senior,Cybersecurity,Malware Analyst,metasploit; wireshark; cryptography; network security; penetration testing; nmap; owasp; burp suite; linux; python,en,offline,10,True,4,False,0.0
mentor_ba7bc49e,Светлана Соловьёв,mentor,middle,Backend,Go Developer,redis; docker; rest api; node.js; mongodb; postgresql; kafka; R,ru,offline,3,True,8,False,0.0
mentor_7ae45aa0,Алексей Никитин,mentor,senior,Cybersecurity,Penetration Tester,metasploit; nmap; burp suite; wireshark; network security; owasp; linux; cryptography; python; javascript,ru+en,online,6,False,0,False,0.0
mentor_b7d4514a,Андрей Павлов,mentor,middle,Frontend,TypeScript Developer,,,,2,True,5,False,0.0
mentor_503f57f3,Дарья Зайцев,mentor,senior,Frontend,TypeScript Developer,html; vue; typescript; javascript; webpack; css; tailwind; angular; figma; next.js; vite; react,en,online,12,True,5,False,0.0
mentor_f96942c9,Вера Захаров,mentor,senior,Product Analytics,Marketing Analyst,mixpanel; tableau; excel; python; amplitude; statistics; sql; google analytics,en,online,9,True,2,False,0.0
mentor_f7bdfb66,Сергей Соколов,mentor,senior,QA,QA Lead,,,online,6,True,2,False,0.0
mentor_ccb61416,Арсений Кузнецов,mentor,middle,QA,Performance Tester,,ru,hybrid,3,True,2,False,0.0
mentor_d66d90bc,Роман Никитин,mentor,middle,DevOps,Kubernetes Engineer,prometheus; docker; jenkins; terraform; helm; azure; github actions; aws; grafana,en,online,4,False,0,True,0.07
mentor_3f55fe53,Владимир Козлов,mentor,senior,DevOps,Platform Engineer,azure; gcp; ansible; prometheus; jenkins; aws; helm; bash; grafana,ru,,7,True,2,True,0.1
mentor_d539ab4f,Владимир Фёдоров,mentor,senior,Data Science,Data Scientist,statistics; tensorflow; scikit-learn; airflow; pytorch; python; numpy; spark; mlflow; docker; java,en,hybrid,12,True,3,True,0.19
mentor_f0c0ffdf,Иван Степанов,mentor,middle,DevOps,Cloud Engineer,,ru,hybrid,6,True,1,False,0.0
mentor_e78ce72e,Григорий Степанов,mentor,middle,Cybersecurity,Malware Analyst,wireshark; penetration testing; burp suite; metasploit; siem; network security; python; linux; nmap,en,hybrid,5,False,0,False,0.0
mentor_6c95988c,Тимур Семёнов,mentor,lead,DevOps,Kubernetes Engineer,grafana; aws; docker; prometheus; jenkins; terraform; gcp; bash; linux; github actions; kubernetes; azure; ansible; helm,en,online,20,True,6,False,0.0
mentor_72a12638,Александр Никитин,mentor,senior,Cybersecurity,Malware Analyst,wireshark; metasploit; cryptography; python; owasp; linux; penetration testing; network security; burp suite,ru,hybrid,8,True,4,False,0.0
mentor_51cbcde3,Ольга Степанов,mentor,senior,Game Development,Game Developer,opengl; lua; c#; blender; game design; unity; python; git,,online,10,True,5,False,0.0
mentor_29ef82e3,Денис Алексеев,mentor,middle,Game Development,Technical Artist,physics simulation; python; blender; git; unity; lua; c#; game design; unreal engine,ru,online,3,True,6,False,0.0
mentor_ea98b4b2,Екатерина Иванов,mentor,senior,Game Development,Gameplay Programmer,physics simulation; git; c++; c#; lua; unreal engine; game design; python; unity,ru,hybrid,12,True,3,False,0.0
mentor_9d9d4fae,Светлана Алексеев,mentor,lead,Product Analytics,Web Analyst,power bi; excel; amplitude; looker; statistics; sql; python; mixpanel; tableau; google analytics; a/b testing,ru,online,20,True,3,False,0.0
mentor_b47ad6ac,Кирилл Кузнецов,mentor,senior,Blockchain,Solidity Developer,hardhat; defi; ethereum; rust; ethers.js; typescript; smart contracts; truffle; web3.js; nft; solidity,,,9,False,0,False,0.0
mentor_5a31b4e1,Алексей Михайлов,mentor,lead,Product Analytics,Product Analyst,mixpanel; excel; amplitude; google analytics; a/b testing; python; tableau; statistics; opengl,ru+en,offline,9,True,6,False,0.0
mentor_f0326589,Ксения Кузнецов,mentor,middle,QA,Test Automation Engineer,appium; pytest; git; cypress; sql; python; jmeter; selenium; jira; ui/ux,ru+en,online,4,True,5,False,0.0
mentor_4a1ee60f,Анна Павлов,mentor,senior,Frontend,Angular Developer,figma; typescript; tailwind; react; vite; vue; html; css; graphql; angular; javascript; webpack,en,online,12,True,5,False,0.0
