id,name,level_raw,level_score,domain,profession,language,language_set,format,format_set,skills_normalized,skills_missing,domain_vector,domain_fallback,experience_years,experience_norm,available,hours_per_week,boosted,boost_k
mentor_0e59e697,Алексей Лебедев,lead,4,Product Analytics,Growth Analyst,ru,ru,online,online,excel; power bi; python; mixpanel; amplitude; tableau; statistics; looker; a/b testing; google analytics,0,"0.0349,0.0294,0.0178,0.0705,0.0081,0.0123,0.0212,0.0049,0.763,0.0378",0,16,0.9306,True,2,False,0.0
mentor_936d7c44,Роман Никитин,middle,2,Backend,API Developer,en,en,online,online,go; sql; grpc; microservices; kubernetes; java; kafka; node.js,0,"0.6304,0.0198,0.0192,0.0887,0.0593,0.008,0.0174,0.0719,0.0431,0.0423",0,3,0.4553,True,1,False,0.0
mentor_b5d772e9,Денис Павлов,middle,2,Game Development,Gameplay Programmer,ru,ru,online,online,lua; c++; python; unity; git,0,"0.021,0.022,0.0175,0.02,0.0098,0.0083,0.7923,0.0373,0.0261,0.0457",0,2,0.3608,True,1,False,0.0
mentor_2b0f97f6,Михаил Козлов,senior,3,QA,Performance Tester,ru,ru,hybrid,hybrid|offline|online,pytest; api testing; python; jmeter; test planning; jira; selenium; git; cypress,0,"0.0334,0.0193,0.0162,0.0289,0.0024,0.0119,0.0486,0.0353,0.038,0.766",0,5,0.5885,True,5,False,0.0
mentor_deab40c7,Вера Семёнов,lead,4,Mobile,React Native Developer,,,,,,1,"0.0682,0.0094,0.0081,0.0146,0.0156,0.0039,0.0394,0.8003,0.0059,0.0347",0,20,1.0,True,8,True,0.18
mentor_fb660425,Артём Алексеев,senior,3,QA,Test Automation Engineer,ru,ru,,,test planning; allure; git; pytest; jmeter; selenium; python; api testing; postman; cypress,0,"0.0335,0.0177,0.0178,0.0284,0.0066,0.0075,0.0436,0.0317,0.0358,0.7772",0,5,0.5885,False,0,True,0.09
mentor_13adc44c,Александр Морозов,lead,4,Backend,Backend Developer,ru,ru,online,online,rest api; kafka; sql; mongodb; kubernetes; docker; microservices; go; grpc; redis; python; node.js; java; postgresql,0,"0.6448,0.0211,0.0194,0.0856,0.0567,0.0093,0.0146,0.0758,0.0378,0.0349",0,13,0.8668,True,5,False,0.0
mentor_c808b1d5,Юлия Андреев,senior,3,Frontend,UI Developer,ru,ru,offline,offline,html; vite; figma; javascript; tailwind; webpack; css; typescript; graphql,0,"0.0054,0.0507,0.0054,0.0092,0.0079,0.893,0.0057,0.0022,0.0107,0.0098",0,8,0.7217,True,2,False,0.0
mentor_039f8231,Ирина Волков,senior,3,Cybersecurity,Malware Analyst,en,en,offline,offline,metasploit; wireshark; cryptography; network security; penetration testing; nmap; owasp; burp suite; linux; python,0,"0.0167,0.0272,0.8141,0.0154,0.0463,0.0101,0.0167,0.0072,0.0249,0.0213",0,10,0.7876,True,4,False,0.0
mentor_ba7bc49e,Светлана Соловьёв,middle,2,Backend,Go Developer,ru,ru,offline,offline,redis; docker; rest api; node.js; mongodb; postgresql; kafka; r,0,"0.6227,0.023,0.0175,0.0864,0.062,0.0036,0.0215,0.0874,0.0409,0.035",0,3,0.4553,True,8,False,0.0
