mentee_id,rank,mentor_id,mentor_name,profession,mentor_rating,organic_score,final_score,is_boosted,top_factor,profile_penalized,w_skill_contrib,w_domain_contrib,w_exp_contrib,w_rating_contrib
mentee_2a36480e,1,mentor_d539ab4f,Владимир Фёдоров,Data Scientist,4.8,0.6206,0.7385,True,rating,True,0.0,0.1896,0.211,0.22
mentee_2a36480e,2,mentor_6243d498,Виктория Волков,ML Engineer,4.7,0.6755,0.7363,True,exp,True,0.0,0.193,0.273,0.2095
mentee_2a36480e,3,mentor_39e6e908,Екатерина Михайлов,NLP Engineer,4.4,0.594,0.7069,True,exp,True,0.0,0.1942,0.2216,0.1781
mentee_2a36480e,4,mentor_113c1958,Ольга Попов,ML Engineer,4.1,0.5975,0.5975,False,exp,True,0.0,0.193,0.2578,0.1467
mentee_2a36480e,5,mentor_874bdbd3,Тамара Фёдоров,MLOps Engineer,3.9,0.5913,0.5913,False,exp,True,0.0,0.1926,0.273,0.1257
mentee_b2753425,1,mentor_6243d498,Виктория Волков,ML Engineer,4.7,0.6922,0.7545,True,domain,True,0.0,0.2591,0.195,0.2381
mentee_b2753425,2,mentor_467dea2c,Андрей Морозов,Data Scientist,5.0,0.6553,0.6553,False,domain,True,0.0,0.2545,0.1507,0.25
mentee_b2753425,3,mentor_9d15fed7,Денис Захаров,NLP Engineer,4.3,0.6353,0.6353,False,domain,True,0.0,0.2607,0.1842,0.1905
mentee_b2753425,4,mentor_79843184,Анна Андреев,ML Engineer,3.7,0.5288,0.624,True,domain,True,0.0,0.2591,0.1507,0.1191
mentee_b2753425,5,mentor_113c1958,Ольга Попов,ML Engineer,4.1,0.6099,0.6099,False,domain,True,0.0,0.2591,0.1842,0.1667
mentee_439d79c2,1,mentor_deb7b68e,Вера Никитин,Unreal Engine Developer,4.4,0.913,1.0134,True,skill,False,0.33,0.2995,0.1486,0.1349
mentee_439d79c2,2,mentor_148fff02,Юлия Павлов,Technical Artist,4.6,0.9169,0.9994,True,skill,False,0.3667,0.2963,0.1031,0.1508
mentee_439d79c2,3,mentor_75b6e3e8,Михаил Семёнов,Game Developer,4.7,0.9822,0.9822,False,skill,False,0.3667,0.2986,0.1581,0.1588
mentee_439d79c2,4,mentor_783645cd,Антон Попов,Unreal Engine Developer,3.9,0.836,0.9447,True,skill,False,0.33,0.2995,0.1113,0.0953
mentee_439d79c2,5,mentor_9f49a7c6,Александр Никитин,Game Developer,4.7,0.9354,0.9354,False,skill,False,0.3667,0.2986,0.1113,0.1588
mentee_961df732,1,mentor_9376b8e5,Егор Волков,Mobile Architect,4.3,0.8804,1.0565,True,domain,False,0.26,0.3,0.2137,0.1067
mentee_961df732,2,mentor_69ef6a32,Надежда Петров,Kotlin Developer,3.4,0.9067,0.9067,False,domain,False,0.26,0.3,0.3,0.0467
mentee_961df732,3,mentor_25418c75,Елена Смирнов,Mobile Architect,4.1,0.8794,0.8794,False,domain,False,0.26,0.3,0.2261,0.0933
